site,SURE_year,phase,patch,H2Ohio_ID,sample_ID,topography,phase3_feature,latitude,longitude,collection_date,M3_extraction_date,WE_extraction_date,M3_analysis_date,P_mg_kgsoil,Fe_mg_kgsoil,Al_mg_kgsoil,Ca_mg_kgsoil,SPSC,PSI_analysis_date,PSI_mgP_per_100gdrysoil_over_log_umol_L,soil_PSR,NO3NO2_analysis_date,orthoP_analysis_date,NO3NO2_mg_kgsoil,orthoP_mg_kgsoil,NH3_mg_kgsoil,pH_measure_date,pH,elec_cond_measure_date,elec_cond,LOI_OM_percent
TRUC,2023,3,NA,S02649,2,Pool,HummockPool,41.66403667,-80.99174833,20230711,20230727,NA,20230728,4.720924644,978.5638124,1011.100835,NA,165.5389272,NA,NA,0.009422575,NA,NA,2.151079208,0.163594059,1.615643564,NA,NA,NA,NA,NA
TRUC,2024,1,C,NA,1,Pool,NA,41.664128,-81.005547,20240708,20240718,20240711,20240830,12.08236843,1876.348428,657.5800167,3868.740986,167.2868474,20250414,85.65404123,0.006736032,20241212,20250404,0.08515738,0.101047992,NA,20240912,4.78,20241108,86.31,7.707745499
TRUC,2024,1,E,NA,1,Woods,NA,41.65883,-81.006599,20240708,20240718,20240711,20240830,6.133626574,244.7411265,1405.201192,1304.983925,168.7524576,20250409,64.93561174,0.003507212,20241212,20250404,2.34101956,0.601561686,NA,20240912,3.65,20241108,NA,17.12970313
TRUC,2024,3,M,S02715,3,Pool,BP1,41.664658,-80.990837,20240709,20240723,20240712,20240918,3.338195893,1385.541977,839.4881909,3815.425502,169.7471304,20250414,81.07245013,0.001928642,20241212,20250404,0.086455644,0.154503267,NA,20240913,6.56,20241108,91.52,6.993160821
TRUC,2023,3,NA,S02648,1,Pool,HummockPool,41.664045,-80.99187167,20230711,20230727,NA,20230728,7.991439903,1407.736564,897.1989495,NA,172.9485654,NA,NA,0.010243356,NA,NA,2.000324706,0.158376471,4.090694902,NA,NA,NA,NA,NA
TRUC,2023,3,L,S02640,1,Pool,WCS,41.666195,-80.99236333,20230711,20230727,NA,20230728,13.04115529,1816.088331,789.7375452,NA,178.1658759,NA,NA,0.004621947,NA,NA,1.971568762,0.138210286,6.881021714,NA,NA,NA,NA,NA
TRUC,2024,1,E,NA,3,Woods,NA,41.65826,-81.007755,20240708,20240718,20240711,20240830,15.14496362,195.8832789,1625.284882,3113.043081,182.3053578,20250414,110.8627815,0.007670265,20241212,20250404,6.786162524,0.294062913,NA,20240912,4.38,20241108,NA,48.31076053
TRUC,2024,2,F,NA,1,Pool,NA,41.664351,-81.001166,20240708,20240718,20240711,20240830,42.08426181,2357.048154,884.0227134,6534.403693,189.8940937,20250414,74.80866251,0.018141461,20241212,20250404,0.56176556,1.102963519,NA,20240912,4.61,20241108,115.6,7.810888025
TRUC,2023,3,L,S02641,2,Pool,WCS,41.666265,-80.991945,20230711,20230727,NA,20230728,3.423433232,1306.138525,1146.799933,NA,200.5502856,NA,NA,0.004465519,NA,NA,2.052677019,0.024411058,4.89724875,NA,NA,NA,NA,NA
TRUC,2024,1,B,NA,2,Pool,NA,41.662305,-81.009655,20240708,20240718,20240711,20240830,3.940890431,2281.010429,682.2120634,7615.562105,200.6573815,20250414,75.7099821,0.00192616,20241212,20250404,0.181338077,0.812825962,NA,20240912,5.14,20241108,90.82,7.9087966
